1000,10000,100000,1000000,2000000,4000000
1.08E-03,3.39E-02,1.51E+00,1.39E+02,5.56E+02,2.32E+03
2.30E-04,1.53E-02,6.97E-01,6.96E+01,2.78E+02,1.15E+03
2.61E-04,1.89E-02,3.47E-01,3.48E+01,1.39E+02,5.71E+02
1.01E-03,8.73E-03,1.55E-01,1.55E+01,6.19E+01,2.54E+02
2.09E-03,3.31E-03,8.95E-02,8.63E+00,3.44E+01,1.47E+02
1.13E-03,2.18E-03,2.56E-01,9.47E+00,3.50E+01,1.42E+02
3.73E-02,1.63E-03,1.67E-01,9.10E+00,3.55E+01,1.40E+02
