1000,10000,100000,1000000,10000000,100000000,1000000000,10000000000,20000000000,40000000000,80000000000,2E+11,
5.10E-05,7.58E-05,4.99E-04,4.81E-03,4.78E-02,4.78E-01,4.77E+00,4.77E+01,9.53E+01,1.91E+02,3.81E+02,9.54E+02,
4.70E-05,5.98E-05,2.69E-04,2.43E-03,2.40E-02,2.39E-01,2.39E+00,2.39E+01,4.77E+01,9.55E+01,1.91E+02,4.77E+02,
7.20E-05,6.51E-05,1.57E-04,1.24E-03,1.20E-02,1.20E-01,1.19E+00,1.19E+01,2.39E+01,4.77E+01,9.55E+01,2.39E+02,
1.23E-04,9.70E-05,1.33E-04,6.72E-04,6.10E-03,5.99E-02,5.97E-01,5.97E+00,1.19E+01,2.39E+01,4.78E+01,1.19E+02,
2.06E-04,1.73E-04,1.98E-04,4.47E-04,2.80E-03,2.68E-02,2.67E-01,2.66E+00,5.33E+00,1.06E+01,2.13E+01,5.33E+01,
7.39E-04,6.19E-04,6.33E-04,7.83E-04,2.88E-03,2.69E-02,1.37E-01,1.37E+00,2.76E+00,5.40E+00,1.08E+01,2.69E+01,
1.16E-03,1.03E-03,1.02E-03,1.06E-03,2.26E-03,1.81E-02,1.46E-01,1.49E+00,3.07E+00,5.83E+00,1.18E+01,2.90E+01,
1.81E-03,1.43E-03,1.44E-03,1.40E-03,3.10E-03,2.01E-02,1.52E-01,1.42E+00,2.90E+00,5.83E+00,1.13E+01,2.79E+01,
