8,9,10,11,12,13,14
3.78E-04,2.95E-03,2.74E-02,2.94E-01,3.45E+00,4.40E+01,5.98E+02
1.99E-04,1.73E-03,1.40E-02,1.47E-01,1.73E+00,2.20E+01,3.00E+02
1.33E-04,7.79E-04,6.96E-03,8.52E-02,8.78E-01,1.10E+01,1.50E+02
1.02E-04,4.25E-04,4.74E-03,4.14E-02,4.48E-01,5.67E+00,7.69E+01
1.65E-04,3.82E-04,2.79E-03,2.41E-02,2.25E-01,2.70E+00,3.84E+01
2.54E-02,2.18E-02,2.45E-02,2.17E-02,1.37E-01,1.62E+00,2.02E+01
4.53E-03,2.63E-03,2.32E-03,1.34E-02,1.39E-01,1.78E+00,2.22E+01
3.07E-04,4.88E-04,1.80E-03,1.33E-02,1.18E-01,1.47E+00,2.05E+01
